State Postal Code,County Name,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
PA,Blair County,12011159,3310053,2918853,1371702,1746959,1720298,517641,292052,118945,11857,2799
NE,Deuel County,187195,26459,45199,14072,24599,42394,22268,7793,3766,550,95
MI,Kalkaska County,2396861,521158,539981,291233,326400,474677,186484,29907,24611,1873,537
OH,Franklin County,138297837,42323135,32009908,17458176,22215540,18931785,2824646,1318764,950396,144510,120977
NE,Madison County,3959995,1124161,1352159,378845,251511,488664,206193,94239,58422,4267,1534
ID,Benewah County,944277,276133,230213,121299,76781,117683,78223,38007,4554,1249,135
KY,Crittenden County,929140,162466,231457,119201,102532,158370,90874,46183,16086,1650,321
MN,Meeker County,2672107,674464,483511,242672,378118,514324,229866,127405,19141,1815,791
VA,Pulaski County,3995955,1022282,989307,395447,730426,579007,166162,67695,39349,5464,816
LA,Morehouse Parish,2830237,827823,887974,265137,364840,271593,166759,23952,16012,5346,801
MO,Howard County,1149824,318418,254396,71526,169091,193813,114245,17986,9048,1179,122
CA,San Luis Obispo County,24070765,6183254,5876721,2350982,2916839,4766474,1346844,297561,272968,42328,16794
MI,Berrien County,16940061,4514348,4143844,1932105,2396859,2799980,737242,265672,126849,16657,6505
CO,Custer County,533060,117657,78037,43368,151095,59272,48527,19481,5422,3555,6646
NE,Johnson County,714235,125695,142866,99798,127863,116837,76658,20413,3557,397,151
GA,Rockdale County,8334490,2236446,1921288,1072026,1246591,1120223,558317,92880,59528,19786,7405
AK,Juneau City and Borough,3626025,1203953,894695,489158,655590,267427,69571,22817,3853,2720,16241
SD,Day County,683000,129704,207740,38150,67459,153528,51682,30485,3823,369,60
WV,Harrison County,5832589,1391783,1456710,807348,963729,704178,263320,159523,67147,12067,6784
NE,Red Willow County,1326069,404677,463617,93569,96128,186280,41977,25122,11002,3293,404
TX,Fayette County,2888664,627769,696946,304327,513709,451334,170059,93089,27363,3558,510
TX,Montgomery County,61756116,15278679,13679414,6909485,9437459,10429026,4201675,1255784,399063,87286,78245
IA,Page County,1685144,368331,503291,163977,174320,285788,115013,60705,12545,844,330
MT,Gallatin County,11225892,2921880,2931231,1259284,1713264,1508243,550016,194403,114100,9863,23608
OK,Choctaw County,1921322,522361,491656,159953,261346,263756,131115,56810,31839,1904,582
AR,Baxter County,3810629,836001,969959,555426,710509,568081,71298,54628,37941,4786,2000
ID,Valley County,1276274,206873,186255,103923,177853,441631,100018,37810,20099,1239,573
IN,Rush County,2103814,460807,555146,174956,279629,404597,160168,51430,13500,2452,1129
OH,Paulding County,2136950,378889,469120,314703,290593,455221,150187,43753,30152,3949,383
NM,Colfax County,1254795,360257,303687,152327,135741,134767,107532,30244,27451,2335,454
PA,Juniata County,2677156,407275,498674,378822,436596,498975,282453,146574,25102,465,2220
CO,Huerfano County,846267,148602,276419,139217,60177,125333,45117,36753,13327,639,683
NC,McDowell County,4948355,1117594,1178840,639427,825446,782758,261305,103132,32414,6242,1197
MS,Copiah County,3190535,793846,885919,293627,372497,498336,237923,64576,27754,14321,1736
IL,Cass County,1227756,267378,168437,110706,200574,289153,139575,34500,13697,3302,434
VA,Page County,2675865,619347,654117,398232,398300,346474,145188,74821,33259,5436,691
KY,Jessamine County,5467266,1253192,1376127,613270,881564,946651,227043,100180,54000,10717,4522
MI,Roscommon County,2422021,484051,519098,277950,448458,414503,168059,66470,39859,2718,855
SD,Meade County,3295862,758701,712762,285766,519140,656709,269357,68034,17994,4930,2469
CA,Mendocino County,7146605,1860928,2051584,922372,850268,874259,356004,123663,86032,14540,6955
TN,Hawkins County,5536937,1090408,1357612,642744,942909,936983,417688,86835,46660,13004,2094
AL,Russell County,6030520,1677788,1314665,722518,1118085,832168,206817,78498,66955,10377,2649
AR,Ashley County,1565915,286405,410623,250784,196880,212885,102191,53149,47121,5695,182
NE,Sheridan County,635931,211446,86137,96215,54686,102998,52517,20192,9982,1276,482
MN,Ramsey County,61205748,19117410,13776883,7507405,8846438,9091650,1879438,553482,323293,54290,55459
NE,Harlan County,452537,86225,108425,34286,89116,63543,44485,19308,5909,1180,60
KY,Carlisle County,578612,91545,158835,56843,85059,120496,41803,11840,9997,2039,155
SC,Laurens County,7044739,1546821,1612609,766111,1060907,1275270,608130,107678,57688,7829,1696
NE,Antelope County,890000,215704,211592,90229,110827,142371,71888,32541,12746,1276,826
AK,Northwest Arctic Borough,1159092,351960,24194,8036,33978,43000,691162,1100,1891,214,3557
GA,Oconee County,3618256,636117,867509,430361,805034,579864,173969,86609,28840,5538,4415
NY,Chemung County,10312518,2713234,2469855,1202854,2102856,1263213,358233,120885,75854,2714,2820
WI,Vernon County,3565511,685082,749522,358090,726073,634554,292175,62511,48204,8769,531
WI,Walworth County,12838027,3187121,2726132,1292187,2070806,2310061,899727,258524,75460,14266,3743
ND,Grand Forks County,8176613,2833664,2319479,1014244,716604,604175,415981,197724,58580,13693,2469
SD,Harding County,170492,50779,17582,28526,8298,18380,27573,12177,5919,873,385
ND,Hettinger County,192336,21735,17404,36224,38336,36950,31300,7678,2311,225,173
SD,Lake County,1730584,341586,702368,86829,206209,188108,155439,37968,8679,2205,1193
NC,Moore County,11013650,2748326,2557164,1458959,1873399,1517864,543925,224208,74422,11475,3908
SD,Corson County,461281,98707,66522,79022,17540,59583,87487,41425,10707,225,63
WA,Grays Harbor County,7321239,1956218,1616980,725798,839899,1245023,620005,239744,74185,1986,1401
NV,Storey County,457507,72985,116858,34195,52411,147175,24889,5559,3132,248,55
TN,Sumner County,20902750,5050600,5083189,2583145,2903711,3550969,1295183,253126,127239,35675,19913
GA,Jefferson County,1929109,462483,454859,187984,342952,207379,187862,62517,20430,1702,941
OR,Klamath County,7504209,2040100,1926243,1024317,1093703,839360,320079,152319,85783,18337,3968
CA,Yuba County,6747793,1474602,1342786,839183,1173385,972832,727794,153676,51938,4791,6806
IN,Fountain County,1990887,446427,399498,197374,304366,369666,206709,44143,20296,1633,775
NM,Taos County,3452328,752980,883502,392137,680288,535414,90827,60782,40602,10920,4876
OH,Williams County,4329415,1173329,1040853,386166,585463,829706,184333,78282,46395,4305,583
SD,Beadle County,1981342,696933,549003,178699,248164,162674,59410,55053,24669,4922,1815
MI,Shiawassee County,8083415,1976796,2056278,851708,1022325,1339342,523740,239471,64982,7344,1429
MO,Atchison County,618477,136512,128589,38818,161096,66903,51604,29012,3782,2069,92
MS,Lawrence County,1381172,274683,309619,166496,302729,173629,107261,35916,7611,2580,648
IA,Dubuque County,10660551,2994305,3018237,1420696,1335521,1112506,442642,222581,90989,17264,5810
GA,Barrow County,7749028,1792417,1648351,841176,1127686,1526662,555096,187054,51496,14863,4227
AR,Cross County,1672909,371199,431845,171951,205526,251322,111497,99559,25526,3543,941
VA,Lunenburg County,1365921,266801,304799,183255,154212,254718,118584,68822,14371,291,68
NC,Carteret County,8646741,2228018,2023234,1103541,1554886,1300037,282784,85792,54492,11447,2510
WI,Green County,3986891,882673,722501,433352,534108,766060,518566,94801,29905,4373,552
TX,Galveston County,38585364,11505301,9291315,4556221,5441771,5112013,1917180,515011,174181,49647,22724
TN,Tipton County,6574088,1339230,1627303,782081,1050791,1074242,509595,99021,69734,18592,3499
SD,Minnehaha County,22334729,7041414,5647006,3042135,3474715,1912359,548180,361436,259844,25611,22029
LA,Vernon Parish,6101935,1789627,1532350,617389,1042686,733189,181250,148921,43228,7657,5638
IN,Jackson County,5253895,1509151,1252559,569331,583500,953792,247663,101641,26334,9051,873
MO,Dent County,1460086,274391,457800,113177,143624,244908,153266,44947,24036,2647,1290
KY,Bell County,2335132,434251,789864,209652,314191,385290,162718,33629,4929,119,489
ND,Logan County,283773,73350,29089,10840,51633,96976,13023,7862,772,176,52
SC,Lee County,1533393,280733,301295,199641,190221,320136,168666,53073,16577,2527,524
TN,Hardin County,2549037,653582,506082,280703,373065,402347,147923,133742,39623,11192,778
MS,Hinds County,21829039,5886500,5284158,2945780,3787798,2734911,642343,300097,189838,50091,7523
CO,Ouray County,787352,146235,127400,122894,104226,203317,60224,17301,4116,1181,458
OR,Marion County,35824625,9725178,9254122,4388267,5354574,3993355,1901948,970525,189619,30931,16106
NC,Gaston County,22519994,5856701,5228098,2772880,3927776,3328563,1020021,197724,153144,26657,8430
ND,Pierce County,477885,223983,99549,13845,18236,75281,23908,18360,3285,675,763
IL,Marion County,4073668,964406,1044359,418519,502993,728343,262525,106062,33053,11559,1849
TX,Cherokee County,5896997,1353184,1346846,652206,980431,933630,405280,135296,81226,7285,1613
TN,Trousdale County,1435907,396664,346954,134598,136441,253290,134655,19626,9397,3715,567
TN,Houston County,961068,158171,241483,152931,196054,106058,85204,14842,4264,1956,105
MS,Jackson County,14447932,4093028,3320847,1650269,2205130,2205661,701228,169925,82107,15056,4681
MI,Missaukee County,1823631,406363,312975,169561,402242,348504,75443,55130,49990,3019,404
OH,Coshocton County,4405624,1223108,1102085,505717,554732,536543,303863,123022,47142,6302,3110
NE,Grant County,26470,7155,2169,925,12604,2186,454,768,129,80,0
KY,Lewis County,1123549,202395,155200,96573,188935,284735,118036,50039,23371,3879,386
NM,Union County,519318,132584,225311,39642,17560,37479,33161,22316,10775,490,0
SD,Miner County,219044,56224,32560,20399,32547,41523,27559,7628,233,371,0
OK,McClain County,4168235,917781,824629,498038,679310,814042,310927,78618,35067,7514,2309
OH,Darke County,5795596,1470169,1396107,565424,743345,1071043,393260,107214,39674,7198,2162
MT,Deer Lodge County,732522,175857,140439,95686,101299,142809,50039,12369,9502,2767,1755
KY,Clinton County,1359559,233116,268921,244028,242803,204715,67516,59544,29660,9163,93
VA,Montgomery County,11204146,2667369,2402230,1601381,2107170,1627589,556669,104063,111411,20161,6103
SC,Newberry County,4684929,1096982,1293851,550912,616234,699109,307344,88682,28369,2288,1158
NE,Franklin County,367992,50742,53560,63008,90364,52316,35915,16322,5329,267,169
LA,St. Mary Parish,5608835,1706005,1344711,655992,782139,660166,316350,106933,27946,6442,2151
OK,Cherokee County,5295876,1222420,1376888,648929,864647,765383,240597,128702,37180,10277,853
MA,Barnstable County,30098350,7865835,7894465,4350169,5374819,3221176,699144,598264,68661,11838,13979
MI,Isabella County,7542584,1827646,1693638,908959,1023290,1322104,470718,176657,109032,8197,2343
IN,Jefferson County,3861982,935009,1078309,460777,658359,449183,176084,85369,15771,2374,747
SD,Pennington County,13200103,3618681,3175386,1941518,2450073,1259805,452848,185085,85093,20441,11173
GA,Dougherty County,9685987,2992563,2364374,1372715,1529612,853092,284399,174676,102085,11275,1196
KS,Sheridan County,401534,102541,126434,14563,30993,49822,39625,28068,9009,479,0
OR,Josephine County,8538477,1735389,2258117,1437614,1373463,885696,621853,118057,78073,25602,4613
MI,Washtenaw County,40341821,11150472,8546150,4953153,6550912,6356664,2196488,384447,161022,34627,7886
GA,Elbert County,2128045,503193,510524,192950,325746,356919,176731,38335,21002,1913,732
GA,Talbot County,628349,98553,114591,55107,127738,117643,89515,18763,4844,1258,337
MT,Treasure County,42958,9865,6751,3034,5046,12880,2932,2184,129,137,0
IN,Johnson County,18254720,4945252,3809975,2325744,2745026,3063517,968722,217840,141564,29238,7842
IN,Clay County,2758304,765002,630491,272603,330759,481375,129520,101237,42597,2451,2269
VA,Stafford County,14484492,3708477,3461318,1578252,2141644,1866925,1206083,403064,91797,20084,6848
MT,Ravalli County,4319312,972112,971896,434986,794186,718777,263394,112177,42214,4023,5547
MT,Hill County,1512485,431951,453048,183383,91860,205395,96317,22529,24329,2320,1353
AL,Pickens County,1962010,326561,443410,282595,281655,319343,203580,63777,35687,5402,0
PA,Perry County,5589259,1147914,1357867,496749,819863,1106690,465937,119962,67266,3864,3147
PA,Chester County,50689647,13016012,11802406,6220824,8352100,7647332,2546225,663608,390761,32672,17707
MS,Simpson County,2836620,782746,587011,391686,374603,396916,217846,61034,20127,3975,676
NC,,1256115336,311352107,291848031,159720697,214054239,189372223,57818663,19994659,9851447,1570467,532803
MT,,119700455,31748570,31856515,13946557,15850631,15556200,6078981,3065840,1284759,148414,163988
MO,,724681653,190194210,166930324,84527304,112127536,110602482,37841586,13381271,6995048,1340819,741073
TN,Campbell County,4380596,1091289,1011539,522338,774455,576560,284306,58178,47022,12212,2697
KY,Ballard County,1110781,252293,250555,179111,164802,163666,71327,18932,8055,1471,569
MO,Gasconade County,1693625,391793,406323,215128,273374,213927,115585,69217,7409,665,204
TX,Nueces County,40549421,12429445,10465094,5376174,6093436,4330657,1132017,300831,365829,33108,22830
TN,Van Buren County,640630,107717,152438,43452,106446,134821,67500,19923,6490,1742,101
MT,Sweet Grass County,482557,108228,225230,31406,32865,24541,36294,21632,2113,76,172
NM,Quay County,974828,302291,309960,94746,94879,77683,48467,26199,17907,1558,1138
UT,Rich County,277837,60824,76244,47269,33127,39875,11449,5011,3556,0,482
IA,Johnson County,15554332,3735535,3942037,2167015,2525069,2176014,666089,215618,99139,20083,7733
MT,Lincoln County,1480469,360524,320868,173454,265232,237478,45489,65742,7194,3779,709
OK,Okfuskee County,1172910,203850,265757,148611,215245,167290,83151,77002,9930,1469,605
KS,Harvey County,3975578,974392,1232162,357980,386222,544231,395024,41152,34876,7935,1604
KY,Rowan County,2523867,534966,507502,295012,559859,301763,146636,147500,26859,2729,1041
IA,Crawford County,2189573,590299,545451,120512,210770,436785,162914,89681,31275,1538,348
KY,Edmonson County,1491188,203882,312577,186112,245637,326761,124560,69214,19639,2501,305
AR,,316368730,74930044,75528348,40062797,51164806,46957037,15975418,7046064,3865760,672452,166004
CT,,421535576,109671425,108407855,52333467,63078215,60640209,18721434,6830196,1495991,190513,166271
NE,Hayes County,131308,23488,18636,9413,8636,30128,33822,5835,1278,72,0
IA,Des Moines County,4370261,1206387,1388587,598970,483244,408444,159116,78430,40378,4303,2402
AR,Pope County,6112603,1348516,1430040,777939,1036933,967085,288561,193675,62266,5452,2136
MI,Crawford County,1943087,416872,327207,230353,426473,296223,150547,59730,33823,1815,44
TN,Grundy County,1611772,277164,435206,208133,239647,248697,156712,31041,10074,5045,53
KY,Graves County,4071467,954099,944259,414650,688408,633924,314260,66818,49497,4688,864
SC,Pickens County,13788481,3183370,3269216,1621003,2258420,2486063,744560,121336,86531,13856,4126
MI,Ogemaw County,2074551,415940,449068,228232,263656,417996,178033,72787,43508,4179,1152
TX,Willacy County,2310958,600014,449033,297262,346611,340470,214748,29230,22868,9293,1429
MO,Macon County,1562927,378706,407905,140903,200692,225381,116652,62432,26785,3380,91
SD,Sully County,180761,57155,34635,11284,26043,19400,25725,2433,3374,560,152
MI,Leelanau County,2643376,606884,619866,282458,372219,532664,149081,41382,31687,4034,3101
AL,Morgan County,11246754,2814840,2446620,1467066,1582666,1936087,708501,211357,65123,10472,4022
AL,Winston County,2414622,492851,549741,336540,415187,369724,158267,58893,29681,2655,1083
AR,Calhoun County,575246,81757,86448,95715,111836,119546,47811,18029,12720,1349,35
IL,Hancock County,2118090,489977,461804,273664,291777,324476,159091,79444,28450,8744,663
UT,Washington County,16400428,3438748,3948327,2267889,3335514,2262890,606415,267469,171627,85138,16411
AL,Geneva County,3048364,617103,686987,413067,455380,561244,216052,56960,32927,7679,965
MT,Valley County,842082,198441,248204,46071,89823,161656,54065,33865,8082,1765,110
LA,Madison Parish,1091956,348666,244172,63519,102640,180671,94109,45041,8989,2336,1813
SC,Richland County,40314761,10557892,9259021,5404643,7193883,5807084,1029146,568277,436295,43531,14989
LA,Vermilion Parish,7085361,1684119,1725479,819659,1090247,1356078,262766,95291,41788,8605,1329
ID,Bonner County,4960126,1034844,1024815,608285,1012019,727312,399144,127573,14033,7695,4406
LA,Catahoula Parish,1423677,354102,352410,83513,216590,210329,129504,51375,18445,4010,3399
MS,Madison County,9253690,2310520,2020996,1064301,1595448,1675405,329545,129473,96586,23506,7910
TX,Wharton County,4651202,1240164,1052404,434587,664212,682526,360671,174105,34811,6312,1410
LA,Richland Parish,2302602,446483,538684,265606,360802,406451,181796,55490,32369,12580,2341
CA,Merced County,24727149,6674961,6875276,2604592,2886728,3118214,1361955,908653,253002,31549,12219
AL,Conecuh County,1363733,270027,232892,197653,273825,208123,110876,53651,15840,653,193
KS,Wabaunsee County,805188,156027,184100,74446,109234,151292,95266,23660,8867,1603,693
IL,Christian County,3499032,1054602,827012,256306,334020,606762,291628,91088,30034,3768,3812
FL,Pasco County,59807713,17299712,13955624,7118946,9483153,7924416,3169467,569773,208827,41724,36071
OH,Mercer County,4791007,936431,1134397,631494,817785,890265,238961,90489,43915,4485,2785
FL,Citrus County,16689508,3934264,3923568,2265525,3096538,2424901,681939,281832,61637,14357,4947
NY,Schuyler County,2678756,495324,593938,402855,481624,515904,117958,57327,11945,1441,440
WI,Jefferson County,9617078,2232980,2285484,783196,1179400,1782822,994399,225971,106824,21337,4665
OH,Miami County,11673694,2951100,3009977,1297920,1590310,1921584,601252,200657,66153,28177,6564
VA,Suffolk city,9959347,2702526,2022480,1017801,1245724,2029189,737572,116324,70134,12574,5023
MO,Lewis County,1255902,251126,343643,145705,144404,247777,102947,9144,10127,778,251
OH,Carroll County,3130787,643460,676529,337479,488425,639747,243033,75695,22533,2588,1298
VA,Pittsylvania County,6928094,1103064,1550475,1044786,1166183,1336861,457152,184540,73629,10576,828
NE,Sioux County,168368,22626,28563,15051,12620,73113,9811,4241,2088,126,129
NE,Cherry County,594332,170783,125615,23276,33323,98390,82862,42533,15892,1372,286
AR,Ouachita County,2275663,469038,609020,273889,328286,337195,136141,75348,39602,6258,886
CA,Madera County,14298907,3228088,3791113,1749786,1644037,2360799,1076451,247378,177930,13976,9349
KS,Lincoln County,384979,79157,74701,36883,78255,64825,26340,18009,6679,130,0
FL,Jackson County,5627287,1216524,1118014,770447,848325,1026613,376320,226799,34373,8242,1630
AR,Poinsett County,2174617,406877,553931,181932,262332,487609,188346,58791,27880,5481,1438
PA,Huntingdon County,5247944,1243510,1237401,578835,757824,754567,498307,132916,41234,2275,1075
MS,Prentiss County,2034898,391982,528862,218484,275727,378582,162543,35726,29745,10804,2443
AL,Lauderdale County,9151023,2269811,2291117,1185642,1392174,1326511,385275,193126,93094,11711,2562
KS,Morris County,646692,153234,179064,58730,83387,93603,51001,19491,6497,1245,440
WV,Hardy County,1253956,221123,216218,149746,233349,265303,109782,40244,17683,508,0
KS,Linn County,1425426,357527,282540,196360,168793,183006,120066,104207,10327,2134,466
MN,Watonwan County,1383260,441770,352574,66029,108571,231685,125006,38201,15423,3654,347
MI,Allegan County,15038869,3502629,3434399,1624759,2223295,3063947,884306,193863,93289,11188,7194
VA,Rockbridge County,2788220,545334,654334,394421,378727,502307,174843,101171,33456,3139,488
MI,Cass County,5752351,1213134,1152208,662374,1003088,1248701,360876,75501,30842,4419,1208
TX,Atascosa County,5809588,1227963,1149248,673250,904488,1061878,562909,143576,74703,9162,2411
NC,Davie County,4859499,995569,1155453,534186,928871,868065,248840,85417,32973,7765,2360
VA,Fauquier County,8123204,1541296,1722549,1108189,1125114,1646485,777577,159506,31160,7586,3742
MT,Big Horn County,1527079,414750,483927,84019,123342,192508,101676,95016,23068,7199,1574
KS,Nemaha County,1257991,309228,295531,116859,165748,224940,82367,49436,10867,2304,711
TX,Milam County,2678153,640020,536093,302273,390325,418053,249503,112387,26132,1367,2000
NE,Holt County,1232788,256563,273702,104141,180817,257291,82298,43613,32039,1857,467
PA,Snyder County,4315062,967522,913506,470912,714128,816743,230805,122049,74226,2086,3085
TX,San Patricio County,8405893,2533875,1989570,736581,1150801,1366010,459234,86689,72385,8815,1933
MO,Mercer County,371248,33671,60225,54339,71878,71602,46398,25196,7728,211,0
MI,Gladwin County,2943569,547530,725279,280871,407487,605852,257987,63768,49075,5290,430
WI,Langlade County,2304455,603075,575415,186870,371411,280209,218659,37254,23275,7136,1151
GA,Bartow County,10568762,2324295,2366071,1365744,1752107,1808297,654506,204892,61006,24542,7302
ID,Adams County,317035,38380,45693,52737,25656,117877,22798,9778,2511,1085,520
GA,Gordon County,5358663,1111919,1236784,711681,959649,816399,323672,137303,51039,8298,1919
TX,Harris County,502269211,144402825,113039662,59909768,75978298,76050892,23994764,5318263,2481317,721245,372177
MN,Beltrami County,6889881,1639828,1598413,800557,1074135,1115404,414965,171607,66373,5178,3421
NM,Sandoval County,16680027,4036557,3828727,1989656,2636774,3020882,692646,276171,131395,52950,14269
SC,Saluda County,2204187,379940,430148,299099,319259,464524,235837,40205,29982,4575,618
NC,Richmond County,4651861,1093450,1194375,619928,763779,590796,230122,112618,42284,3827,682
OH,Lawrence County,5424610,1453556,1384233,650506,907882,737562,165072,71492,46972,6055,1280
KS,Clark County,326571,75562,28229,47804,80849,58272,25073,9077,1100,267,338
TN,Union County,1954201,340406,398685,212745,327854,453268,145704,38795,27876,5113,3755
OR,Union County,2625496,739897,846397,158138,215789,432193,149654,53477,23426,4663,1862
IL,Edwards County,737637,125543,175107,61561,96922,169993,63321,33065,9873,641,1611
MS,Washington County,4349728,1311265,1234869,603359,433228,469935,156085,88086,42094,10006,801
MN,Renville County,2011987,339231,511302,195922,310396,413232,165717,61564,13379,546,698
OR,Crook County,2370474,571352,631810,229666,235118,408874,217701,30280,40593,2552,2528
CO,Conejos County,953052,150443,179540,85207,134907,238022,114058,27304,22594,0,977
LA,Union Parish,3079776,655408,631009,354774,591370,522694,248630,46954,20752,7525,660
TX,Wheeler County,641548,187200,217549,24722,36031,82629,30923,46264,14786,1396,48
CO,Teller County,3053291,579885,695077,386794,428245,659072,207015,60139,22550,8464,6050
VA,Chesterfield County,35775203,9190923,8206326,4380681,6034402,5916310,1116001,569222,307594,43488,10256
TN,Henry County,3315237,803771,735099,397289,455248,611253,175292,81649,45984,8687,965
GA,Atkinson County,915034,183518,158176,130295,167362,166465,67600,30983,8969,1518,148
NH,Hillsborough County,43739208,10860587,11503701,5638516,5855155,6236176,2569833,924675,121111,13505,15949
IN,White County,2804645,615425,654594,343699,420442,482862,193233,68724,23880,1272,514
MN,Murray County,1062827,246383,158993,153886,164400,209706,85720,32065,10584,569,521
NE,Richardson County,853289,107289,239719,145637,80264,156106,66587,47688,9146,227,626
ND,Bottineau County,636813,228604,118016,46183,49243,116862,51342,19681,5712,1039,131
PA,Clinton County,4518104,1338898,1023411,420803,607066,592946,369060,117024,44812,3081,1003
PA,Fulton County,1442781,263664,251287,214448,197647,284260,142679,62049,25257,1225,265
CO,Montrose County,5523131,1427305,1844449,677461,536981,522572,369622,109652,26450,6822,1817
TX,Brooks County,745575,212487,176905,31037,78840,110508,74027,43119,15823,2829,0
TN,Hancock County,702407,96124,140800,112777,112088,120754,86473,17918,9104,6369,0
KS,Jackson County,1679317,375895,435150,105852,228175,300640,168527,53141,9098,2253,586
GA,Rabun County,1529318,207441,326234,176231,411257,229076,108139,46611,21873,1934,522
IN,Jasper County,4247783,959096,909880,453129,644371,668516,433642,137029,40192,1453,475
NY,Allegany County,7349444,1101535,1868101,1203475,1100064,1395659,443223,189462,43927,2972,1026
AR,Woodruff County,645884,120207,143724,59582,101502,118508,61714,28741,10191,1673,42
NE,Arthur County,,,,,,,,,,,
RI,Kent County,18457273,5231911,4930279,2284345,2734056,2459163,590685,173839,35725,9993,7277
GA,Hall County,18960181,4376309,4492346,2153466,3283135,3146724,1035901,340441,99637,20949,11273
IN,Decatur County,3448042,845259,867689,624113,342982,459914,194766,89995,18043,4463,818
OK,Hughes County,1603509,434271,388722,128257,212460,230239,123501,59657,22162,3121,1119
SC,Marion County,3134975,736721,666690,377750,437263,434511,318738,111039,46794,4487,982
WI,Price County,1631757,420422,276815,157401,284596,289248,111428,75950,14181,1486,230
VA,Prince Edward County,2435363,403118,557838,323229,400251,393329,153114,163441,36235,4222,586
TX,Guadalupe County,17345572,3994096,3943535,2318818,2850229,2746307,980796,356555,118054,23245,13937
TX,Rockwall County,8897631,2205472,2030595,1090232,1262515,1319582,737531,167570,59402,15509,9223
KS,Wilson County,994266,210362,218180,166003,138017,147826,54933,28560,27647,2548,190
AL,Elmore County,6757553,1382335,1589541,769877,1132472,1379924,276443,128824,83481,10689,3967
ID,Lemhi County,799051,138299,205961,80449,139829,136868,66982,17826,12113,418,306
GA,Upson County,3014601,740607,917414,402382,363163,295980,183677,83512,22494,5175,197
GA,Fayette County,9892262,2453300,2525809,1205967,1645739,1328994,476300,146655,60030,21096,28372
IN,DeKalb County,4992041,1322915,1212080,480194,595957,961452,285003,69051,55413,8823,1153
KY,Barren County,5167748,1169256,1298637,504325,808250,844502,390084,109301,30303,11292,1798
TN,Haywood County,2152338,449945,546087,251874,287926,328302,199345,59928,25779,2130,1022
TN,Rutherford County,35747879,8656827,8211396,4514714,5403744,5726897,2441229,453707,263343,49506,26516
TX,Rusk County,5759689,1181320,1162593,603814,948665,1131064,475101,162204,86169,7794,965
MO,Washington County,2808935,655603,522984,377402,381631,494292,188488,143567,37483,6417,1068
PA,Delaware County,55325756,16931325,13655327,6936942,8522818,6730597,1465768,758894,272474,26180,25431
IN,Dubois County,5270978,1227222,1248165,677932,1137996,608773,203562,123247,37451,5199,1431
NY,Otsego County,8181490,1761901,1439038,991573,1419669,1829199,523626,182336,29368,3290,1490
TN,Macon County,2869469,538795,615861,406537,547048,401927,267606,75601,12171,3532,391
TX,Jack County,880066,226885,184141,71005,91139,160664,78689,52673,13376,1385,109
CA,Modoc County,949785,292439,158351,23648,90433,207923,112105,37330,24317,3103,136
IA,Plymouth County,3173336,881387,859344,269506,293793,494306,245202,73927,51915,1862,2094
NC,Hyde County,855318,200186,97589,303716,105313,85912,33283,23602,4405,910,402
AZ,Maricopa County,396166086,109514170,81698477,41473155,62246068,73171456,20392353,3926429,2385014,790411,568553
NM,Catron County,267884,27840,50091,14027,12514,54733,49484,43710,14344,1141,0
MI,Montcalm County,7742807,1704250,1846418,889560,934899,1422630,674393,183907,75266,9016,2468
OR,Hood River County,2378733,565640,637263,369781,283506,324709,128009,46984,17416,2285,3140
MD,Talbot County,4256573,984182,1073791,563792,564100,695451,206255,159614,7068,1021,1299
MI,Eaton County,12956464,3498396,2948078,1231170,1768705,2349002,705025,332703,106031,10571,6783
NE,Valley County,585605,116507,101250,108725,59206,117180,41712,32955,7771,233,66
WV,Taylor County,1651630,395400,403239,232552,217749,282191,77635,32069,9735,806,254
WI,Outagamie County,22156773,6240204,5158268,2540232,3349037,3128433,1128527,355258,216843,28382,11589
OH,Warren County,23896828,6456293,5505058,2697522,3664877,4011398,1149297,200260,144150,43951,24022
AK,Matanuska-Susitna Borough,10251269,2012639,2399217,1145197,1731194,1802640,852498,223865,64675,4918,14426
MS,Rankin County,13938603,3164634,2899920,1688078,2629266,2593288,528211,275859,119703,33667,5977
NE,Polk County,640479,140656,116991,41852,163430,91607,53233,24729,7068,501,412
FL,Washington County,3132005,576115,590294,385076,447217,566458,456309,83581,18787,5734,2434
MT,Liberty County,222475,42128,29669,17940,15289,66993,26275,21063,2974,82,62
VA,Alexandria city,15503491,4837781,3471064,1901583,2607657,1920749,475991,149741,88267,28574,22084
SD,Hamlin County,890845,177829,189953,59370,134014,219286,78518,19602,9981,1466,826
IA,Fremont County,693177,99870,123075,79041,118066,160796,71551,24583,13695,2184,316
MS,Leake County,2538920,576199,565329,274172,333045,448402,239811,77743,18299,3472,2448
TX,Scurry County,1851073,522455,630214,199922,167850,175512,67206,53799,29941,3560,614
LA,St. Bernard Parish,5663799,1778453,1267370,563892,985823,750446,188131,83726,32502,10876,2580
NJ,Atlantic County,30277376,8497910,6282511,3206298,5753762,4475894,1236185,692071,116466,7130,9149
MN,Scott County,17298090,4783714,3694867,1733009,2455154,3107020,1104280,246629,135218,18309,19890
TN,Cannon County,2107614,315320,452533,248547,350065,450631,223312,50733,11956,3625,892
