"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available"
"0500000US12119","Sumter County, Florida","59458","3085","2760","1148","35873","2804","17383","2872","2591","936","851","417","18475","2907","2153","1114","14457","2716","1826","1118","0","234","39","68","35391","2972","478","411","20875","2693","12495","2331","1392","710","151","150","2965","1011","0","234","327","238","1582","858","703","439","353","355","2627","893","129","182","214","209","1480","755","496","410","308","232"
"0500000US12127","Volusia County, Florida","219451","3752","12744","1997","82952","4321","84507","4081","27407","2913","11841","1989","65383","4398","9676","1875","45714","3931","8119","1421","1162","566","712","394","85688","4012","1506","428","25858","2576","45853","3471","9337","1502","3134","866","32699","3146","929","597","6124","1465","14930","2117","8892","1645","1824","751","35681","3084","633","504","5256","1547","15605","2338","8016","1759","6171","1447"
"0500000US12131","Walton County, Florida","26475","2685","1280","748","7910","1601","10989","1694","4715","1439","1581","820","7178","1671","799","631","4572","1507","1282","719","103","129","422","565","8340","1572","419","344","1914","774","4883","1131","834","484","290","297","5490","1257","62","106","1065","753","2481","807","1636","745","246","230","5467","1315","0","234","359","283","2343","816","2142","1013","623","432"
"0500000US13013","Barrow County, Georgia","27765","833","1312","516","6582","1059","11798","1458","5151","1011","2922","633","5610","1003","832","463","3397","742","930","538","414","274","37","62","9060","1196","145","129","1191","477","5339","1163","1739","643","646","441","4671","1140","259","365","968","527","1973","802","875","446","596","262","8424","1365","76","132","1026","503","3556","1048","2123","682","1643","497"
"0500000US13015","Bartow County, Georgia","39742","1150","1645","898","11220","1980","16604","1978","6130","1316","4143","1021","9633","1985","1425","880","6314","1744","1549","793","286","249","59","93","12094","1674","166","209","1964","753","7254","1607","1923","712","787","492","8096","1985","54","87","1328","830","3237","1234","2502","998","975","549","9919","1742","0","234","1614","965","4564","1158","1419","658","2322","836"
"0500000US13021","Bibb County, Georgia","56726","1984","6688","1106","22452","2176","16798","2064","7816","1705","2972","931","19867","2141","3795","916","12330","1768","2696","824","1009","679","37","62","19621","2305","1476","642","5583","1499","8621","1521","3218","1147","723","351","7512","1115","668","311","2075","720","2382","844","1534","566","853","445","9726","1719","749","512","2464","855","3099","848","2055","728","1359","651"
"0500000US13031","Bulloch County, Georgia","28660","1370","1329","713","11001","1691","9048","1601","4748","1390","2534","906","8467","1450","640","475","5506","1206","1883","840","438","417","0","234","8279","1482","592","502","2705","1012","3856","1115","621","473","505","405","4731","1410","0","234","1051","629","1668","836","1880","944","132","156","7183","1470","97","173","1739","978","1641","685","1809","925","1897","843"
"0500000US13045","Carroll County, Georgia","42798","1323","1561","735","12769","2158","15584","1817","7816","1403","5068","1101","10198","1957","858","521","6520","1677","2133","1065","337","283","350","488","14384","2156","689","717","3281","1286","7250","1383","2285","769","879","427","6679","1614","0","234","1326","782","2310","1149","1434","616","1609","683","11537","1633","14","25","1642","880","3891","1190","3760","1280","2230","789"
"0500000US13047","Catoosa County, Georgia","24130","1401","1269","677","6062","1396","10230","1453","4802","1124","1767","689","5763","1180","842","585","3858","1121","807","420","256","292","0","234","7815","1138","138","171","1324","688","4621","976","1550","591","182","182","5613","1181","200","299","583","356","2700","1059","1479","601","651","367","4939","1136","89","155","297","339","2102","1014","1517","633","934","552"
"0500000US13051","Chatham County, Georgia","107987","2721","8190","1690","42764","3599","38233","3641","12904","2547","5896","1781","33608","3527","4726","1138","23494","2840","4778","1542","565","431","45","72","41022","3399","1337","634","13853","2092","18897","2329","5413","1442","1522","840","14665","2848","1093","702","2949","1152","6066","1788","2995","1252","1562","865","18692","2721","1034","556","2468","1026","8492","2176","3931","1505","2767","1364"
"0500000US13057","Cherokee County, Georgia","93441","1407","4244","1772","21117","3053","43082","3605","17073","2455","7925","1533","20514","3365","2347","1422","13977","2751","3487","1312","646","564","57","96","33499","2845","650","714","5336","1290","21592","2505","5020","1239","901","556","15415","2332","177","242","924","585","6807","1663","5041","1490","2466","997","24013","2489","1070","916","880","758","11196","2077","6366","1668","4501","1138"
