Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
5/1/2021,19123,17,Mahaska ,IA,24.7,5452,5452,29.3,5444,32.4,2681,65.5,97.4,6863,31.1,6862,36.9,6834,40.7,2896,70.7,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,19039,17,Clarke ,IA,31.8,2984,2984,38.1,2971,42.5,1386,76.7,97.4,3568,38,3568,45.5,3541,50.7,1503,83.2,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
5/1/2021,47185,17,White ,TN,23.1,6325,6325,27,6284,29.4,3494,62.2,98.1,7728,28.3,7726,32.9,7663,35.8,3930,70,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,20125,17,Montgomery ,KS,25.5,8101,8101,30.1,8087,33.3,3963,61.3,93.1,9950,31.3,9950,36.9,9904,40.8,4397,68,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
5/1/2021,16065,17,Madison ,ID,17.1,6812,6812,20.9,6812,23.3,2094,74,98,10259,25.7,10259,31.5,10258,35.1,2324,82.1,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,High VC/Low-Mod SVI
5/1/2021,17001,17,Adams ,IL,34.1,22284,22284,40,22148,43.7,9059,67,97.5,27231,41.6,27224,48.9,26972,53.2,11316,83.7,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,48453,17,Travis ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
5/1/2021,21141,17,Logan ,KY,28.7,7780,7780,34,7754,37.3,3561,70.5,93.4,9055,33.4,9055,39.6,9001,43.3,3851,76.2,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,High VC/Mod-High SVI
5/1/2021,21185,17,Oldham ,KY,33.8,22585,22585,39.9,22398,44.9,6700,73.4,93.4,28622,42.8,28617,50.6,28028,56.2,7441,81.5,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
5/1/2021,1125,17,Tuscaloosa ,AL,20.2,42314,42314,23.6,42196,25.5,16197,56.3,92.1,56220,26.9,56216,31.3,55840,33.8,19246,66.9,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,29057,17,Dade ,MO,25,1891,1891,28.7,1889,31.5,1035,57.3,90.7,2396,31.7,2396,36.4,2392,39.9,1245,69,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,8085,17,Montrose ,CO,23,9833,9833,26.7,9741,28.9,4860,47.2,66.3,,0,,0,,0,,0,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
5/1/2021,12009,17,Brevard ,FL,30.1,181380,181376,34.1,181081,36.7,98957,67.9,98.8,258292,42.9,258221,48.5,256340,52,118525,81.3,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,48393,17,Roberts ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
5/1/2021,37151,17,Randolph ,NC,23.3,33468,33459,27.1,33262,29.8,15238,58.5,96.4,41016,28.5,41006,33.3,40582,36.3,16717,64.1,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,48101,17,Cottle ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
5/1/2021,18001,17,Adams ,IN,21.8,7815,7814,27.8,7792,31.8,3842,67.6,98.5,8759,24.5,8758,31.2,8704,35.5,4019,70.7,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,27161,17,Waseca ,MN,30.1,5599,5599,35.2,5582,39.1,2664,77,95.4,7440,40,7440,46.8,7360,51.5,2687,77.7,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,High VC/Low-Mod SVI
5/1/2021,18147,17,Spencer ,IN,27.6,5605,5605,32.1,5597,35.2,2611,64.4,98.5,6372,31.4,6372,36.4,6337,39.9,2707,66.8,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,49023,17,Juab ,UT,17.8,2144,2144,23,2134,27,965,67.6,96.1,3085,25.7,3084,33.1,3055,38.6,1127,79,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,50001,17,Addison ,VT,32.1,11805,11805,35.9,11754,38.3,5753,75.7,74.4,17589,47.8,17589,53.5,17317,56.4,6357,83.7,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,High VC/Low SVI
5/1/2021,19177,17,Van Buren ,IA,26.4,1862,1862,31.1,1859,34.1,1052,66.3,97.4,2188,31.1,2188,36.6,2179,40,1156,72.9,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,42075,17,Lebanon ,PA,26.5,37506,37506,31,37415,34.1,18458,65.5,92.4,53881,38,53880,44.6,53349,48.7,22019,78.2,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,51023,17,Botetourt ,VA,12.1,4055,4055,13.7,4022,14.8,1874,24.1,50,5468,16.4,5468,18.5,5392,19.9,2288,29.4,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI
5/1/2021,8007,17,Archuleta ,CO,21.3,2982,2982,24,2941,25.5,744,19.4,66.3,3421,24.4,3421,27.5,3365,29.2,812,21.2,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI
