County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Phillips ,AR,7485,1304,2566,2416,955,244
Pike ,AR,4280,202,1159,1524,961,434
Poinsett ,AR,9526,569,3295,3704,1455,503
Polk ,AR,8243,471,2449,3463,1201,659
Pope ,AR,22579,1236,7630,8559,3584,1570
Prairie ,AR,3776,209,1340,1329,557,341
Pulaski ,AR,158051,11906,61703,58050,19529,6863
Randolph ,AR,7355,361,2495,2956,1106,437
St. Francis ,AR,9388,1270,3670,2650,1259,539
Saline ,AR,44075,1930,11736,19429,7622,3358
Scott ,AR,3944,384,1222,1268,698,372
Searcy ,AR,3327,300,780,1299,623,325
Sebastian ,AR,51228,3490,18592,18152,7791,3203
Sevier ,AR,5885,260,1492,2112,1307,714
Sharp ,AR,7447,417,2536,2939,1008,547
Stone ,AR,4787,242,1482,1623,933,507
Union ,AR,15726,807,5686,5789,2469,975
Van Buren ,AR,6813,460,2118,2504,1135,596
Washington ,AR,87325,5205,28517,35090,13243,5270
White ,AR,29055,1913,8990,10652,5303,2197
Woodruff ,AR,2932,314,963,1225,351,79
Yell ,AR,7503,389,1898,2865,1556,795
Alameda ,CA,577177,54451,184964,207934,85265,44563
Alpine ,CA,350,22,86,101,54,87
Amador ,CA,14594,846,3572,5423,3144,1609
Butte ,CA,85320,5809,25529,31940,14268,7774
Calaveras ,CA,16942,279,4045,6608,3892,2118
Colusa ,CA,7227,418,1783,2436,1761,829
Contra Costa ,CA,394769,20685,108091,153541,72760,39692
Del Norte ,CA,9945,860,3635,3399,1455,596
El Dorado ,CA,70974,2982,16340,29196,13796,8660
Fresno ,CA,307906,25528,101307,111160,46386,23525
Glenn ,CA,10085,417,3007,3793,1855,1013
Humboldt ,CA,54679,4045,18256,20452,8125,3801
Imperial ,CA,44829,3497,12939,16037,8587,3769
Inyo ,CA,7950,414,2785,2660,1387,704
Kern ,CA,270282,18572,83311,101891,44356,22152
Kings ,CA,43452,2453,12562,18064,7040,3333
Lake ,CA,25660,1484,8391,9307,4259,2219
Lassen ,CA,9280,512,2587,3416,1845,920
Los Angeles ,CA,3316795,292463,1112513,1172117,469728,269974
Madera ,CA,44881,2001,12283,16675,8799,5123
Marin ,CA,105432,4892,34062,42683,17196,6599
Mariposa ,CA,7643,348,2320,2433,1519,1023
Mendocino ,CA,34408,2198,10412,13252,5701,2845
Merced ,CA,80008,5504,22037,28562,15268,8637
Modoc ,CA,3616,136,1355,1260,624,241
Mono ,CA,4765,182,1768,1669,921,225
Monterey ,CA,127155,5861,36030,47570,24279,13415
Napa ,CA,48705,2403,13811,17871,9284,5336
Nevada ,CA,40855,1619,11138,15664,8581,3853
Orange ,CA,1037492,45501,277943,427759,181983,104306
Placer ,CA,142855,5359,37169,60845,26949,12533
Plumas ,CA,8450,422,2642,3006,1615,765
Riverside ,CA,724893,30094,204305,272798,135290,82406
Sacramento ,CA,543025,36072,180944,205115,80618,40276
San Benito ,CA,18135,465,3111,6838,4278,3443
San Bernardino ,CA,636041,30535,171064,235443,121924,77075
San Diego ,CA,1125286,62012,339885,449010,178950,95429
San Francisco ,CA,362354,111795,148655,73111,20943,7850
San Joaquin ,CA,228567,14048,61268,83940,44302,25009
San Luis Obispo ,CA,105981,4594,28760,42405,19536,10686
San Mateo ,CA,263543,13927,77532,102254,43363,26467
Santa Barbara ,CA,145856,8629,44609,54007,23792,14819
Santa Clara ,CA,640215,33145,174586,259034,109545,63905
Santa Cruz ,CA,95818,5208,27665,34833,17533,10579
Shasta ,CA,71181,4786,21684,26871,12145,5695
Sierra ,CA,1319,110,342,390,283,194
Siskiyou ,CA,19240,1302,5526,7032,3419,1961
Solano ,CA,149865,7333,39983,54261,30402,17886
Sonoma ,CA,189374,8987,55424,73075,33170,18718
Stanislaus ,CA,173898,10288,48853,66535,31530,16692
Sutter ,CA,32636,1987,9232,12124,5833,3460
Tehama ,CA,24189,1733,7330,8442,4693,1991
Trinity ,CA,5939,360,2037,2150,881,511
Tulare ,CA,138238,8077,42321,51590,23993,12257
Tuolumne ,CA,22502,1063,6266,8465,4478,2230
Ventura ,CA,271040,11599,68352,106810,51344,32935
Yolo ,CA,74296,5931,22563,27195,13294,5313
Yuba ,CA,26354,1714,7159,9296,5246,2939
Adams ,CO,166450,7796,43794,63674,31899,19287
Alamosa ,CO,6162,400,2093,1982,1075,612
Arapahoe ,CO,240304,11720,75111,98122,37060,18291
Archuleta ,CO,5858,92,1497,2626,1187,456
Baca ,CO,1662,109,432,579,303,239
Bent ,CO,1767,202,628,457,229,251
Boulder ,CO,127415,6850,39741,52010,21146,7668
Broomfield ,CO,27470,795,7871,12402,4753,1649
Chaffee ,CO,8231,483,1658,3687,1497,906
Cheyenne ,CO,774,23,232,234,188,97
Clear Creek ,CO,4395,107,1146,1686,826,630
Conejos ,CO,3183,237,770,1016,624,536
Costilla ,CO,1746,114,554,583,300,195
Crowley ,CO,1301,55,405,543,145,153
Custer ,CO,2214,49,527,897,335,406
Delta ,CO,11883,631,3188,3867,2702,1495
Denver ,CO,301501,29678,121158,108438,30085,12142
Dolores ,CO,759,10,239,339,95,76
Douglas ,CO,120709,2573,24535,58369,23401,11831
Eagle ,CO,18171,319,4115,8201,3826,1710
Elbert ,CO,9280,119,1194,2986,2480,2501
El Paso ,CO,257507,10803,75906,107727,43072,19999
Fremont ,CO,17136,983,4446,6468,3203,2036
Garfield ,CO,21498,605,5014,8497,4185,3197
Gilpin ,CO,2802,58,686,1257,392,409
Grand ,CO,5884,188,1563,2086,1392,655
Gunnison ,CO,6616,234,1998,2642,1053,689
Hinsdale ,CO,377,10,75,162,93,37
Huerfano ,CO,3225,321,1000,970,673,261
Jackson ,CO,558,18,80,245,98,117
Jefferson ,CO,232284,9022,63183,96197,42233,21649
Kiowa ,CO,638,36,146,235,126,95
Kit Carson ,CO,3004,191,739,1158,585,331
Lake ,CO,3392,131,982,1244,588,447
La Plata ,CO,21794,489,6385,8616,4357,1947
Larimer ,CO,137021,5699,35882,56583,26364,12493
Las Animas ,CO,6670,716,2061,2174,1028,691
Lincoln ,CO,1518,96,432,468,262,260
Logan ,CO,8393,591,2443,2998,1497,864
Mesa ,CO,61742,2794,19647,23309,10898,5094
Mineral ,CO,367,11,75,166,92,23
Moffat ,CO,5366,327,1548,1717,1200,574
Montezuma ,CO,10655,227,3153,4180,2125,970
Montrose ,CO,17140,826,4675,6551,3443,1645
Morgan ,CO,10928,564,2965,4080,2018,1301
Otero ,CO,7722,844,2341,2525,1334,678
Ouray ,CO,2163,44,579,1017,297,226
Park ,CO,6931,93,1459,2551,1886,942
Phillips ,CO,1689,48,403,791,280,167
Pitkin ,CO,7467,433,2220,3453,1001,360
Prowers ,CO,4888,293,1468,1636,996,495
Pueblo ,CO,64314,4806,20617,22745,10653,5493
Rio Blanco ,CO,2301,64,676,732,421,408
Rio Grande ,CO,4823,473,1140,1689,1032,489
Routt ,CO,9603,301,2437,4275,1689,901
Saguache ,CO,2860,162,877,972,571,278
San Juan ,CO,289,17,101,140,31,0
San Miguel ,CO,3552,116,1370,1476,465,125
Sedgwick ,CO,967,51,320,248,235,113
Summit ,CO,10641,214,2975,4929,1884,639
Teller ,CO,10248,138,2362,3975,2409,1364
Washington ,CO,2087,106,502,773,419,287
Weld ,CO,104671,3642,23425,41895,22816,12893
Yuma ,CO,4028,177,1016,1484,830,521
Fairfield ,CT,340189,26360,104091,132392,54558,22788
Hartford ,CT,350408,36061,120771,129131,46021,18424
Litchfield ,CT,74143,3778,22491,28958,12526,6390
Middlesex ,CT,66971,3678,20229,26160,11387,5517
New Haven ,CT,330572,38285,115660,115383,42592,18652
New London ,CT,107827,6737,35625,41293,17066,7106
Tolland ,CT,55683,2424,15791,22443,10202,4823
Windham ,CT,44953,2954,13788,17334,7516,3361
Kent ,DE,65796,4374,19956,25847,10614,5005
New Castle ,DE,205829,13740,73481,80998,27167,10443
Sussex ,DE,91697,3567,28070,38885,14327,6848
District of Columbia,#N/A,284386,102001,126916,45123,7794,2552
Alachua ,FL,97995,6742,42494,34700,10370,3689
Baker ,FL,8693,164,2738,3343,1694,754
Bay ,FL,71422,4233,25374,28746,10071,2998
Bradford ,FL,9115,800,2934,3440,1410,531
Brevard ,FL,230417,11123,91299,90617,28039,9339
Broward ,FL,690050,48780,275769,259102,78753,27646
Calhoun ,FL,4501,316,1501,1540,716,428
Charlotte ,FL,76891,3864,32511,30469,7753,2294
Citrus ,FL,63681,3470,26065,24788,6974,2384
Clay ,FL,74333,2289,21144,33222,12968,4710
Collier ,FL,142979,6919,57679,58003,15544,4834
Columbia ,FL,25133,1168,10032,9081,3311,1541
DeSoto ,FL,12072,831,5220,4121,1407,493
Dixie ,FL,6504,638,2068,2379,994,425
Duval ,FL,359544,27970,139975,138578,39572,13449
Escambia ,FL,120104,7216,45983,48769,14109,4027
Flagler ,FL,42121,1385,15778,18805,4633,1520
Franklin ,FL,4444,220,1910,1684,500,130
Gadsden ,FL,17149,1729,6410,5246,2921,843
Gilchrist ,FL,6464,400,2382,2334,951,397
Glades ,FL,4700,228,2106,1694,530,142
Gulf ,FL,5757,245,2187,2260,834,231
Hamilton ,FL,4381,441,1616,1439,590,295
Hardee ,FL,7863,414,3082,2830,1178,359
Hendry ,FL,12527,1033,4432,4015,2072,975
Hernando ,FL,75348,3385,30229,30143,8210,3381
Highlands ,FL,41740,2160,21178,14417,3080,905
Hillsborough ,FL,526175,34333,202953,207169,60906,20814
Holmes ,FL,7092,434,2567,2623,950,518
Indian River ,FL,58612,2935,25130,23218,5633,1696
Jackson ,FL,17149,1405,5757,6354,2623,1010
Jefferson ,FL,5770,281,1886,2266,959,378
Lafayette ,FL,2175,109,688,777,471,130
Lake ,FL,134317,6577,54545,50909,15685,6601
Lee ,FL,275965,13211,115577,108990,28333,9854
Leon ,FL,113658,7013,43791,43086,14905,4863
Levy ,FL,16374,833,6285,6498,1961,797
Liberty ,FL,2459,67,848,818,473,253
Madison ,FL,6778,686,2244,2326,1134,388
Manatee ,FL,145356,6571,60695,58283,15207,4600
Marion ,FL,139172,7223,62634,49244,14711,5360
Martin ,FL,64528,3361,27377,24288,7180,2322
Miami-Dade ,FL,883372,91296,341390,307183,102798,40705
Monroe ,FL,32068,2524,13339,12075,3044,1086
Nassau ,FL,32603,1172,9511,14055,5369,2496
Okaloosa ,FL,77962,3871,25689,32732,11536,4134
Okeechobee ,FL,13904,526,5620,5273,1943,542
Orange ,FL,461705,26237,169742,186093,58799,20834
Osceola ,FL,103141,5414,34723,41543,15497,5964
Palm Beach ,FL,554095,33701,228678,214812,57408,19496
Pasco ,FL,204198,11144,83368,80176,21721,7789
Pinellas ,FL,407546,31499,183929,144970,36294,10854
Polk ,FL,235283,12442,95991,89646,26859,10345
Putnam ,FL,28943,2107,11086,10267,4024,1459
St. Johns ,FL,88773,2155,27206,42202,13100,4110
St. Lucie ,FL,114761,5032,47763,43966,13529,4471
Santa Rosa ,FL,63514,1852,17767,28171,11199,4525
Sarasota ,FL,182842,8991,81392,70142,17063,5254
Seminole ,FL,173668,6921,59969,73224,24779,8775
Sumter ,FL,56230,1834,35011,15703,2615,1067
Suwannee ,FL,14888,1095,4952,5538,2436,867
Taylor ,FL,7405,544,2430,3109,1029,293
Union ,FL,3960,228,1423,1668,420,221
Volusia ,FL,216495,13079,87753,82551,24607,8505
Wakulla ,FL,11200,400,3014,5372,1758,656
Walton ,FL,27420,1510,8692,11423,4325,1470
Washington ,FL,8827,464,3065,3569,1214,515
Appling ,GA,6656,536,2132,2376,1109,503
Atkinson ,GA,2880,212,993,1012,357,306
Bacon ,GA,3874,233,1276,1394,723,248
Baker ,GA,1425,140,526,415,267,77
Baldwin ,GA,16191,1210,5039,6021,2604,1317
Banks ,GA,6740,337,1744,2302,1377,980
Barrow ,GA,26305,911,6516,10668,5437,2773
Bartow ,GA,37627,1566,10640,14900,6740,3781
Ben Hill ,GA,6443,867,2873,1566,820,317
