County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Simpson ,KY,7028,182,2490,2604,1231,521
Spencer ,KY,6763,170,1020,3014,1810,749
Taylor ,KY,9857,864,3046,3757,1417,773
Todd ,KY,4644,470,1315,1708,715,436
Trigg ,KY,5892,377,1597,2073,1254,591
Trimble ,KY,3498,273,1045,1178,581,421
Union ,KY,5374,298,1867,1823,945,441
Warren ,KY,48224,2567,15634,19784,7379,2860
Washington ,KY,4581,249,1072,1822,970,468
Wayne ,KY,8231,650,2618,3009,1289,665
Webster ,KY,4953,304,1344,2015,911,379
Whitley ,KY,12620,910,4012,4781,2013,904
Wolfe ,KY,2898,748,807,819,251,273
Woodford ,KY,10355,478,2950,4518,1643,766
Acadia Parish,LA,22236,1716,7858,8750,2674,1238
Allen Parish,LA,7925,610,2751,2792,1168,604
Ascension Parish,LA,43032,1549,12704,18860,7550,2369
Assumption Parish,LA,8552,671,2808,3306,1280,487
Avoyelles Parish,LA,15163,1192,5617,5659,1728,967
Beauregard Parish,LA,13520,962,3913,5675,1994,976
Bienville Parish,LA,5812,693,2231,1737,780,371
Bossier Parish,LA,49377,2322,16336,20873,7572,2274
Caddo Parish,LA,95864,10089,37439,33401,10943,3992
Calcasieu Parish,LA,77780,5065,28962,29668,10125,3960
Caldwell Parish,LA,3665,322,1120,1428,607,188
Cameron Parish,LA,2734,31,764,953,744,242
Catahoula Parish,LA,3364,297,1057,1324,575,111
Claiborne Parish,LA,5917,613,2084,2022,864,334
Concordia Parish,LA,7162,537,3118,2539,745,223
De Soto Parish,LA,10821,1158,3484,3924,1462,793
East Baton Rouge Parish,LA,164346,11801,64067,61348,20409,6721
East Carroll Parish,LA,2037,340,925,576,192,4
East Feliciana Parish,LA,6959,446,2239,2708,1080,486
Evangeline Parish,LA,12172,1426,4441,4390,1484,431
Franklin Parish,LA,7423,589,3227,2420,788,399
Grant Parish,LA,6989,377,2237,2676,1354,345
Iberia Parish,LA,26184,2549,8927,10247,3341,1120
Iberville Parish,LA,10903,1004,4108,3860,1478,453
Jackson Parish,LA,5971,664,1827,2086,938,456
Jefferson Parish,LA,169452,12236,68797,62940,18904,6575
Jefferson Davis Parish,LA,11726,853,4384,4243,1639,607
Lafayette Parish,LA,91543,6321,32901,38048,10764,3509
Lafourche Parish,LA,36895,2556,11938,15215,5499,1687
LaSalle Parish,LA,4814,179,1600,1966,812,257
Lincoln Parish,LA,17712,1655,5917,6392,2884,864
Livingston Parish,LA,48410,2413,15299,19637,7890,3171
Madison Parish,LA,3832,524,1610,1203,380,115
Morehouse Parish,LA,9732,985,4050,3387,863,447
Natchitoches Parish,LA,14659,1588,5389,4974,2075,633
Orleans Parish,LA,153819,28583,70765,41486,9812,3173
Ouachita Parish,LA,56556,5450,23052,19071,6770,2213
Plaquemines Parish,LA,8919,644,2814,3694,1281,486
Pointe Coupee Parish,LA,8960,568,3312,3613,1046,421
Rapides Parish,LA,48488,4598,18372,18090,5523,1905
Red River Parish,LA,3372,193,1159,1286,502,232
Richland Parish,LA,7459,513,3608,2224,688,426
Sabine Parish,LA,9158,732,2815,3688,1267,656
St. Bernard Parish,LA,15005,1075,6122,5376,1805,627
St. Charles Parish,LA,19212,771,5253,8381,3369,1438
St. Helena Parish,LA,3857,272,1224,1260,575,526
St. James Parish,LA,7719,837,2083,2753,1283,763
St. John the Baptist Parish,LA,15270,764,4926,6359,2416,805
St. Landry Parish,LA,30485,2992,11615,10015,4253,1610
St. Martin Parish,LA,19749,1324,6406,8207,2619,1193
St. Mary Parish,LA,19856,1766,9257,6490,1720,623
St. Tammany Parish,LA,92962,3261,29694,40161,14344,5502
Tangipahoa Parish,LA,47597,2947,16975,18371,6374,2930
Tensas Parish,LA,1792,236,881,522,93,60
Terrebonne Parish,LA,39972,3764,13494,16449,4514,1751
Union Parish,LA,7582,523,2751,2586,1121,601
Vermilion Parish,LA,22086,1581,6994,9126,3251,1134
Vernon Parish,LA,17696,1295,5851,6980,2501,1069
Washington Parish,LA,17613,1373,6454,6307,2093,1386
Webster Parish,LA,16551,1335,5760,5868,2564,1024
West Baton Rouge Parish,LA,9643,609,2706,3692,1961,675
West Carroll Parish,LA,4084,113,2107,1298,430,136
West Feliciana Parish,LA,3869,184,1266,1570,702,147
Winn Parish,LA,5483,413,1873,2012,901,284
Androscoggin ,ME,45630,4129,15661,16903,5946,2991
Aroostook ,ME,29516,2541,11047,10886,3542,1500
Cumberland ,ME,120644,8553,39657,51232,14811,6391
Franklin ,ME,11848,679,4021,4653,1710,785
Hancock ,ME,23661,1333,7778,9823,3399,1328
Kennebec ,ME,52105,4222,17582,20425,6922,2954
Knox ,ME,17020,1065,5713,6942,2502,798
Lincoln ,ME,15336,758,5025,6495,2249,809
Oxford ,ME,21338,1243,6436,8597,3542,1520
Penobscot ,ME,62156,4774,21805,24032,8197,3348
Piscataquis ,ME,7025,519,2610,2718,876,302
Sagadahoc ,ME,15980,979,5559,6427,2361,654
Somerset ,ME,21321,1910,6854,8254,3270,1033
Waldo ,ME,17236,950,5667,6848,2581,1190
Washington ,ME,13791,1232,4910,5612,1591,446
York ,ME,85314,4741,26873,34861,12897,5942
Allegany ,MD,27399,2672,9753,9320,3804,1850
Anne Arundel ,MD,209814,7615,58696,88658,36664,18181
Baltimore ,MD,313519,24245,110768,118606,41622,18278
Calvert ,MD,31973,911,6356,11351,7848,5507
Caroline ,MD,12024,767,2894,4242,2623,1498
Carroll ,MD,60758,2769,12187,23889,13767,8146
Cecil ,MD,37058,1899,9719,14269,7491,3680
Charles ,MD,56520,1764,15396,20955,11213,7192
Dorchester ,MD,13183,1461,4430,4386,1809,1097
Frederick ,MD,92526,3486,23727,37940,18088,9285
Garrett ,MD,12425,840,3656,4858,1927,1144
Harford ,MD,93955,4631,23646,39448,17397,8833
Howard ,MD,114170,4335,30932,51549,18439,8915
Kent ,MD,8025,833,2498,2907,1145,642
Montgomery ,MD,370950,28441,124314,147368,49240,21587
Prince George's ,MD,311343,27712,112951,102098,45143,23439
Queen Anne's ,MD,18577,638,3978,7598,4164,2199
St. Mary's ,MD,40552,2121,9920,16036,7998,4477
Somerset ,MD,8574,991,3291,2647,986,659
Talbot ,MD,16826,815,5096,6751,2933,1231
Washington ,MD,56035,4876,16527,19809,9722,5101
Wicomico ,MD,37793,3196,12098,13758,5673,3068
Worcester ,MD,22089,1488,7128,8586,3450,1437
Baltimore city,MD,239116,69105,97345,56661,12295,3710
Barnstable ,MA,94323,4458,32886,38095,13619,5265
Berkshire ,MA,54813,5179,21570,19979,6035,2050
Bristol ,MA,217912,23155,72321,80085,28925,13426
Dukes ,MA,6765,221,2402,2789,900,453
Essex ,MA,294202,31109,101196,110790,35528,15579
Franklin ,MA,30569,2237,10699,12334,3752,1547
Hampden ,MA,179423,23739,67415,60210,19444,8615
Hampshire ,MA,58838,4436,21148,22814,7381,3059
Middlesex ,MA,604384,63371,212230,235304,67889,25590
Nantucket ,MA,3713,230,1126,1514,611,232
Norfolk ,MA,265300,24968,88350,106990,31737,13255
Plymouth ,MA,187460,11158,56190,78230,28477,13405
Suffolk ,MA,309844,100618,131425,60529,13348,3924
Worcester ,MA,309951,29101,101469,119801,41077,18503
Alcona ,MI,4988,191,1823,2106,662,206
Alger ,MI,3007,194,951,1345,347,170
Allegan ,MI,43416,1783,11260,19669,6774,3930
Alpena ,MI,12752,892,4720,4781,1559,800
Antrim ,MI,9899,413,2822,4429,1498,737
Arenac ,MI,6571,355,2354,2501,984,377
Baraga ,MI,3107,206,1102,1282,378,139
Barry ,MI,24296,855,6382,10236,4419,2404
Bay ,MI,44339,3236,15564,17350,5578,2611
Benzie ,MI,6792,235,1963,2820,1226,548
Berrien ,MI,63665,5105,22512,24155,8102,3791
Branch ,MI,16650,1093,5193,6896,2382,1086
Calhoun ,MI,53991,4702,19291,19432,7540,3026
Cass ,MI,21019,988,6225,8540,3664,1602
Charlevoix ,MI,11503,684,3633,4703,1757,726
Cheboygan ,MI,11195,534,3810,4617,1601,633
Chippewa ,MI,13999,1204,5154,5378,1515,748
Clare ,MI,12199,990,4349,4649,1593,618
Clinton ,MI,29728,839,7827,13123,5326,2613
Crawford ,MI,6141,416,1958,2412,1078,277
Delta ,MI,16234,1271,4876,7239,2053,795
Dickinson ,MI,11231,901,3852,4394,1321,763
Eaton ,MI,44480,2079,14631,18132,6891,2747
Emmet ,MI,14463,913,4963,5784,1936,867
Genesee ,MI,167902,15082,62181,60064,21294,9281
Gladwin ,MI,11047,890,3960,4176,1451,570
Gogebic ,MI,6744,681,2502,2568,700,293
Grand Traverse ,MI,37319,1899,11766,15820,5474,2360
Gratiot ,MI,15035,868,4948,5695,2375,1149
Hillsdale ,MI,18107,1346,5976,7028,2488,1269
Houghton ,MI,13386,1442,4684,4800,1691,769
Huron ,MI,13847,804,4620,5505,2024,894
Ingham ,MI,112840,9835,44665,41206,12369,4765
Ionia ,MI,22964,1357,6760,8770,4086,1991
Iosco ,MI,11669,709,4427,4618,1416,499
Iron ,MI,5225,411,2015,2019,587,193
Isabella ,MI,24739,1816,8061,9867,3144,1851
Jackson ,MI,61805,4342,20785,23564,8760,4354
Kalamazoo ,MI,103445,8001,35775,39892,13518,6259
Kalkaska ,MI,7145,295,2159,3005,1040,646
Kent ,MI,241746,16687,77230,98397,34484,14948
Keweenaw ,MI,1081,43,300,483,206,49
Lake ,MI,4631,382,1658,1745,628,218
Lapeer ,MI,33700,1482,8432,13464,6783,3539
Leelanau ,MI,9139,330,2700,3952,1513,644
Lenawee ,MI,38345,1939,12277,14609,6910,2610
Livingston ,MI,72000,2222,16826,31344,14058,7550
Luce ,MI,2231,168,752,920,281,110
Mackinac ,MI,5269,810,1804,1844,605,206
Macomb ,MI,346402,20996,120917,134058,47984,22447
Manistee ,MI,9426,598,3275,3688,1298,567
Marquette ,MI,26552,1584,8248,11393,3851,1476
Mason ,MI,12186,722,4051,4962,1719,732
Mecosta ,MI,15808,1007,5658,5885,2175,1083
Menominee ,MI,10627,877,3509,4134,1525,582
Midland ,MI,34199,2057,10270,14481,5260,2131
Missaukee ,MI,6055,231,1832,2694,927,371
Monroe ,MI,59929,3530,16851,23585,10982,4981
Montcalm ,MI,23913,1510,7210,9452,3793,1948
Montmorency ,MI,4452,271,1551,1673,683,274
Muskegon ,MI,65939,5029,22432,24538,9780,4160
Newaygo ,MI,19161,897,5673,7819,3090,1682
Oakland ,MI,504585,27364,164061,211035,72287,29838
Oceana ,MI,10156,520,3066,3966,1699,905
Ogemaw ,MI,9184,559,3127,3524,1322,652
Ontonagon ,MI,2793,176,948,1118,440,111
Osceola ,MI,9181,755,2862,3739,1277,548
Oscoda ,MI,3806,278,1337,1426,566,199
Otsego ,MI,9944,554,3060,4258,1379,693
Ottawa ,MI,102610,4538,26201,46548,16983,8340
Presque Isle ,MI,5797,246,1760,2506,922,363
Roscommon ,MI,11139,786,4292,4572,1042,447
Saginaw ,MI,78933,7143,27029,29218,10418,5125
St. Clair ,MI,64850,4300,20133,24833,10484,5100
St. Joseph ,MI,24150,1917,7673,9437,3238,1885
Sanilac ,MI,17499,1172,5639,6663,2829,1196
Schoolcraft ,MI,3468,271,1172,1502,392,131
Shiawassee ,MI,27593,1552,8296,10946,4390,2409
Tuscola ,MI,21777,1039,6560,8704,3704,1770
Van Buren ,MI,29411,1494,8877,11895,4474,2671
Washtenaw ,MI,141245,11624,49383,55196,17387,7655
Wayne ,MI,682282,92936,269964,221794,69449,28139
Wexford ,MI,12963,824,4319,5314,1821,685
Aitkin ,MN,7681,424,2251,2961,1417,628
Anoka ,MN,128198,5622,32305,55639,23468,11164
Becker ,MN,13617,695,3441,5278,2695,1508
Beltrami ,MN,17372,1507,5400,6299,2770,1396
Benton ,MN,16452,1144,4883,6488,2712,1225
Big Stone ,MN,2298,145,603,847,459,244
Blue Earth ,MN,26091,1865,7150,10485,4262,2329
Brown ,MN,10764,490,2927,4266,2106,975
Carlton ,MN,13613,624,3423,5269,2711,1586
Carver ,MN,36754,1207,7984,17228,7493,2842
Cass ,MN,13164,645,3582,5336,2357,1244
Chippewa ,MN,5209,304,1749,1779,944,433
Chisago ,MN,20242,815,3955,7163,5407,2902
Clay ,MN,24364,1674,6698,10480,3623,1889
Clearwater ,MN,3405,256,773,1153,711,512
Cook ,MN,2691,172,840,975,379,325
Cottonwood ,MN,4846,257,1462,1801,784,542
Crow Wing ,MN,26820,1436,7879,11152,4366,1987
Dakota ,MN,161488,7123,46683,71008,26160,10514
Dodge ,MN,7756,244,1638,3033,1912,929
Douglas ,MN,16663,761,4362,7142,2838,1560
Faribault ,MN,6137,306,1859,2260,1099,613
Fillmore ,MN,8616,509,1975,3253,1831,1048
Freeborn ,MN,13009,771,3988,4885,2125,1240
Goodhue ,MN,19452,984,5202,7528,3531,2207
Grant ,MN,2612,134,640,958,609,271
Hennepin ,MN,508030,48814,179969,199756,57761,21730
Houston ,MN,8253,346,2276,3239,1680,712
Hubbard ,MN,8688,419,2075,3483,1680,1031
Isanti ,MN,14903,625,3328,5598,3318,2034
Itasca ,MN,19506,1039,5321,7759,3628,1759
Jackson ,MN,4419,161,1053,1735,951,519
Kanabec ,MN,6439,307,1504,2312,1484,832
Kandiyohi ,MN,16889,864,4895,7047,2741,1342
Kittson ,MN,1860,95,502,685,370,208
Koochiching ,MN,5538,367,1583,2284,905,399
Lac qui Parle ,MN,3090,119,760,1225,617,369
Lake ,MN,5192,355,1400,2016,871,550
Lake of the Woods ,MN,1470,42,490,444,346,148
Le Sueur ,MN,10939,355,2498,4310,2280,1496
Lincoln ,MN,2468,112,721,844,490,301
Lyon ,MN,10018,645,2918,3941,1859,655
McLeod ,MN,14714,698,4116,5749,2727,1424
Mahnomen ,MN,1946,170,619,668,300,189
Marshall ,MN,3971,166,934,1500,830,541
Martin ,MN,8759,464,2849,3037,1607,802
Meeker ,MN,9209,531,2028,3681,1927,1042
Mille Lacs ,MN,10249,766,2735,3455,2000,1293
Morrison ,MN,13371,855,3155,4849,2795,1717
Mower ,MN,15565,1143,4751,5911,2476,1284
Murray ,MN,3645,144,959,1367,761,414
Nicollet ,MN,12885,924,3449,5620,1967,925
Nobles ,MN,8033,654,2237,2901,1481,760
Norman ,MN,2746,155,647,1058,563,323
Olmsted ,MN,62108,3971,19734,25682,9341,3380
Otter Tail ,MN,24687,1452,6195,9423,4892,2725
Pennington ,MN,5995,480,1781,2168,979,587
Pine ,MN,10760,493,2869,3885,2257,1256
Pipestone ,MN,3973,305,1151,1430,670,417
Polk ,MN,12584,839,3924,4518,2147,1156
Pope ,MN,4981,176,1324,1820,1080,581
Ramsey ,MN,209043,20968,76777,78287,23564,9447
Red Lake ,MN,1669,91,428,537,398,215
Redwood ,MN,6261,366,1778,2388,1143,586
Renville ,MN,6085,343,1545,2470,1152,575
Rice ,MN,23005,1513,5798,9512,4073,2109
Rock ,MN,3914,114,871,1636,782,511
Roseau ,MN,5980,247,1384,2358,1323,668
St. Louis ,MN,85807,7385,26307,31826,13628,6661
Scott ,MN,49479,1557,10116,23452,9643,4711
Sherburne ,MN,32206,973,5575,13638,7952,4068
Sibley ,MN,6031,258,1296,2250,1479,748
Stearns ,MN,59479,3079,17449,23954,10450,4547
Steele ,MN,14692,956,3916,5722,2862,1236
Stevens ,MN,3624,243,1094,1393,582,312
Swift ,MN,4263,244,1229,1663,709,418
Todd ,MN,9819,520,2350,3608,2147,1194
Traverse ,MN,1608,106,490,571,315,126
Wabasha ,MN,9020,411,2332,3537,1880,860
Wadena ,MN,5666,399,1547,2166,1007,547
Waseca ,MN,7425,335,2041,2730,1429,890
Washington ,MN,94431,3719,23203,43846,16755,6908
Watonwan ,MN,4310,166,1280,1687,734,443
Wilkin ,MN,2818,136,722,1128,424,408
Winona ,MN,19442,1608,5618,7812,3036,1368
Wright ,MN,48242,1707,10273,20855,10875,4532
Yellow Medicine ,MN,4087,252,859,1710,815,451
Adams ,MS,11237,1025,5131,3272,1247,562
Alcorn ,MS,14649,643,4789,5625,2369,1223
Amite ,MS,5218,457,1544,1902,986,329
Attala ,MS,6941,670,2207,2529,929,606
Benton ,MS,3149,121,910,1356,588,174
Bolivar ,MS,12111,1551,4469,4259,1206,626
Calhoun ,MS,5846,477,1850,2048,972,499
Carroll ,MS,3827,175,935,1771,683,263
Chickasaw ,MS,6476,479,2283,2066,1016,632
Choctaw ,MS,3228,199,921,1221,579,308
Claiborne ,MS,2908,249,1261,930,347,121
Clarke ,MS,6237,426,1811,2127,1199,674
Clay ,MS,7618,705,2397,2355,1310,851
Coahoma ,MS,8782,1210,3487,2742,952,391
Copiah ,MS,9414,625,3147,3542,1462,638
Covington ,MS,6759,290,2471,2405,1251,342
DeSoto ,MS,62890,2222,16110,26388,12574,5596
Forrest ,MS,28086,2157,10921,9519,3777,1712
Franklin ,MS,2928,149,978,1015,544,242
George ,MS,7592,459,2230,2799,1326,778
Greene ,MS,3925,188,1121,1481,695,440
Grenada ,MS,8391,688,2811,2800,1403,689
Hancock ,MS,20036,1194,7001,7409,3093,1339
Harrison ,MS,78104,5038,29102,28173,11341,4450
Hinds ,MS,88611,6634,33166,30570,11862,6379
Holmes ,MS,6188,770,2521,2110,519,268
Humphreys ,MS,3186,483,1288,964,371,80
Issaquena ,MS,483,90,143,179,55,16
Itawamba ,MS,8653,284,2541,3576,1611,641
Jackson ,MS,52423,2130,17517,19342,9170,4264
Jasper ,MS,6629,393,2715,2180,820,521
Jefferson ,MS,2448,280,1152,753,195,68
Jefferson Davis ,MS,4713,346,1729,1443,828,367
Jones ,MS,24858,1496,8712,8886,3715,2049
Kemper ,MS,3611,408,1151,1232,608,212
Lafayette ,MS,18721,772,6024,7610,3199,1116
Lamar ,MS,22116,997,6573,9296,3984,1266
Lauderdale ,MS,29736,2746,9838,10859,4363,1930
Lawrence ,MS,4849,276,1733,1638,752,450
Leake ,MS,8105,831,2609,2653,1232,780
Lee ,MS,32099,1918,9691,12265,5823,2402
Leflore ,MS,9962,1163,3593,3863,1139,204
Lincoln ,MS,12699,621,3918,5000,2352,808
Lowndes ,MS,22436,1549,6746,8394,3846,1901
Madison ,MS,39635,1092,12263,16080,6964,3236
Marion ,MS,9483,650,3192,3277,1641,723
Marshall ,MS,12772,578,3885,4698,2585,1026
Monroe ,MS,13966,984,4110,5048,2425,1399
Montgomery ,MS,4539,247,1591,1619,764,318
Neshoba ,MS,10657,990,3769,2967,1925,1006
Newton ,MS,8037,447,2250,3017,1603,720
Noxubee ,MS,3986,488,1342,1234,534,388
Oktibbeha ,MS,17798,1081,5991,6890,2549,1287
Panola ,MS,12488,666,3979,4660,2208,975
Pearl River ,MS,21020,767,6567,8345,3636,1705
Perry ,MS,4623,308,1356,1511,867,581
Pike ,MS,14404,952,5682,4422,2074,1274
Pontotoc ,MS,10783,561,2772,4368,1910,1172
Prentiss ,MS,9145,811,2595,3367,1578,794
Quitman ,MS,3027,399,1109,1057,266,196
Rankin ,MS,55909,1262,16156,22829,10082,5580
Scott ,MS,10180,1106,2818,3531,1491,1234
Sharkey ,MS,1751,252,652,590,147,110
Simpson ,MS,9486,629,2822,3257,2107,671
Smith ,MS,5820,290,1839,2169,958,564
Stone ,MS,6334,322,2181,2147,1207,477
Sunflower ,MS,8322,1021,3381,2603,997,320
Tallahatchie ,MS,4369,403,1275,1506,733,452
Tate ,MS,10324,517,2546,4324,2047,890
Tippah ,MS,7834,365,2587,3035,1231,616
Tishomingo ,MS,7635,388,2294,2765,1379,809
Tunica ,MS,3930,394,1612,1387,356,181
Union ,MS,9808,500,2812,3752,1945,799
Walthall ,MS,5601,369,1864,1706,1012,650
Warren ,MS,18235,1398,6421,6361,2863,1192
Washington ,MS,17988,2595,7170,5650,1820,753
Wayne ,MS,7683,559,2348,2585,1609,582
Webster ,MS,3782,213,1062,1167,897,443
Wilkinson ,MS,3170,365,1286,885,477,157
Winston ,MS,7269,611,2425,2381,1305,547
Yalobusha ,MS,5181,343,1632,2044,712,450
Yazoo ,MS,8542,796,3238,2852,1056,600
Adair ,MO,9258,690,3320,3133,1589,526
Andrew ,MO,6763,263,1616,2563,1430,891
Atchison ,MO,2562,148,840,926,417,231
Audrain ,MO,9286,579,2853,3558,1553,743
Barry ,MO,13645,618,3628,5274,2603,1522
Barton ,MO,4895,421,1175,1708,942,649
Bates ,MO,6547,306,1649,2243,1485,864
Benton ,MO,7872,543,2242,3190,1311,586
Bollinger ,MO,4593,247,1074,1953,866,453
Boone ,MO,70619,4254,24288,27579,9804,4694
Buchanan ,MO,33501,2976,11415,12210,4712,2188
Butler ,MO,16390,1400,5590,6186,2164,1050
Caldwell ,MO,3639,258,915,1373,659,434
Callaway ,MO,15973,689,4625,5654,3161,1844
Camden ,MO,16031,519,4438,7338,2591,1145
Cape Girardeau ,MO,29594,1715,9183,12444,4119,2133
Carroll ,MO,3503,251,959,1347,645,301
Carter ,MO,2333,148,757,858,414,156
Cass ,MO,39770,1269,9525,16360,8075,4541
Cedar ,MO,5842,357,1908,2233,900,444
Chariton ,MO,2686,95,734,1084,552,221
Christian ,MO,31645,667,8508,13925,5592,2953
Clark ,MO,2657,220,659,947,531,300
Clay ,MO,91238,3968,27285,38919,14672,6394
Clinton ,MO,8177,297,2020,3184,1760,916
Cole ,MO,30154,2028,9743,11545,4747,2091
Cooper ,MO,6397,321,1908,2525,1037,606
Crawford ,MO,9578,436,3249,3196,1749,948
Dade ,MO,3068,143,812,1214,502,397
Dallas ,MO,6209,410,1704,2079,1217,799
Daviess ,MO,3035,273,771,1044,631,316
DeKalb ,MO,3807,288,1039,1235,728,517
Dent ,MO,6371,362,1876,2459,1082,592
Douglas ,MO,5137,113,1452,2037,1019,516
Dunklin ,MO,12342,1175,4846,4232,1479,610
Franklin ,MO,40943,1820,10812,15831,8114,4366
Gasconade ,MO,6076,271,1592,2258,1286,669
Gentry ,MO,2555,156,706,939,445,309
Greene ,MO,125201,8971,46628,47493,15778,6331
Grundy ,MO,3936,352,1340,1246,686,312
Harrison ,MO,3429,224,1029,1112,679,385
Henry ,MO,9328,565,3084,3252,1646,781
Hickory ,MO,3976,157,1371,1451,566,431
Holt ,MO,2022,112,648,704,345,213
Howard ,MO,3471,139,894,1522,553,363
Howell ,MO,15878,1219,4560,6169,2778,1152
Iron ,MO,4074,349,1095,1342,903,385
Jackson ,MO,286601,25505,108193,102327,35090,15486
Jasper ,MO,45759,2888,16114,17180,6827,2750
Jefferson ,MO,84444,2931,21590,34526,16588,8809
Johnson ,MO,19864,891,4878,8156,3838,2101
Knox ,MO,1490,71,420,585,310,104
Laclede ,MO,14112,769,4014,5566,2323,1440
Lafayette ,MO,13050,729,3341,4932,2789,1259
Lawrence ,MO,14787,754,4459,4938,3023,1613
Lewis ,MO,3752,226,1130,1443,665,288
Lincoln ,MO,19286,770,4815,6927,4445,2329
Linn ,MO,5106,227,1608,1931,910,430
Livingston ,MO,5915,328,2151,2079,965,392
McDonald ,MO,8259,418,2720,2632,1658,831
Macon ,MO,5845,439,1784,2069,1046,507
Madison ,MO,5044,309,1603,1722,963,447
Maries ,MO,3762,324,854,1281,829,474
Marion ,MO,11565,825,3786,4199,2140,615
Mercer ,MO,1271,75,381,430,282,103
Miller ,MO,10111,334,2632,4168,1788,1189
Mississippi ,MO,5026,637,1743,1816,653,177
Moniteau ,MO,5436,376,1355,1942,1075,688
Monroe ,MO,3702,294,991,1425,670,322
Montgomery ,MO,5014,212,1470,1768,994,570
Morgan ,MO,7588,778,1993,2916,1317,584
New Madrid ,MO,7371,618,2744,2555,1130,324
Newton ,MO,22202,1129,5968,8838,3850,2417
Nodaway ,MO,8395,424,2357,3396,1446,772
Oregon ,MO,4249,170,1341,1662,665,411
Osage ,MO,5120,205,998,1713,1446,758
Ozark ,MO,3958,216,1089,1604,603,446
Pemiscot ,MO,6730,885,2610,2115,875,245
Perry ,MO,7576,342,1977,2879,1592,786
Pettis ,MO,16033,1225,4927,6032,2705,1144
Phelps ,MO,17981,1201,5963,6724,2670,1423
Pike ,MO,6589,433,1864,2233,1542,517
Platte ,MO,39305,1548,11672,16920,6492,2673
Polk ,MO,11712,773,3101,4266,2228,1344
Pulaski ,MO,15154,741,4785,5907,2558,1163
Putnam ,MO,1744,109,506,646,339,144
Ralls ,MO,4036,137,809,1717,892,481
Randolph ,MO,8626,549,2683,3423,1410,561
Ray ,MO,8868,555,1818,3130,2029,1336
Reynolds ,MO,2596,128,598,940,579,351
Ripley ,MO,5059,320,1472,2142,830,295
St. Charles ,MO,146631,3822,39442,63503,27228,12636
St. Clair ,MO,4139,233,1168,1441,790,507
Ste. Genevieve ,MO,7121,294,1568,2888,1540,831
St. Francois ,MO,24898,1711,7666,9154,4677,1690
St. Louis ,MO,405984,27118,143451,161441,53809,20165
Saline ,MO,8272,521,2757,2955,1486,553
Schuyler ,MO,1475,79,416,521,312,147
Scotland ,MO,1768,95,430,591,395,257
Scott ,MO,15230,1214,4989,5466,2544,1017
Shannon ,MO,3064,112,897,1044,716,295
Shelby ,MO,2432,95,729,868,502,238
Stoddard ,MO,11530,790,3902,4260,1757,821
Stone ,MO,12783,515,3583,5273,2400,1012
Sullivan ,MO,2128,73,697,759,378,221
Taney ,MO,22272,1316,7944,8787,3038,1187
Texas ,MO,9728,690,2964,3327,1833,914
Vernon ,MO,8207,597,2323,2920,1395,972
Warren ,MO,12654,414,2909,5193,2704,1434
Washington ,MO,9231,592,2405,3365,1711,1158
Wayne ,MO,5426,435,1781,1947,791,472
Webster ,MO,13575,968,3614,4680,2831,1482
Worth ,MO,859,47,222,294,166,130
Wright ,MO,7063,646,2029,2502,1267,619
St. Louis city,MO,141952,27929,64196,38326,8874,2627
Beaverhead ,MT,3992,200,1095,1343,758,596
Big Horn ,MT,3609,193,832,1258,754,572
Blaine ,MT,2366,183,875,692,335,281
Broadwater ,MT,2364,37,522,929,457,419
Carbon ,MT,4524,136,1057,1484,1095,752
Carter ,MT,628,39,69,203,166,151
Cascade ,MT,34329,2422,10871,12649,5883,2504
Chouteau ,MT,2274,130,580,750,495,319
Custer ,MT,4903,314,1507,1602,886,594
Daniels ,MT,857,56,241,305,143,112
Dawson ,MT,3930,127,1288,1209,691,615
Deer Lodge ,MT,3903,309,1021,1372,822,379
Fallon ,MT,1334,39,247,448,310,290
Fergus ,MT,4912,255,1460,1664,827,706
Flathead ,MT,38773,1343,9996,15470,7822,4142
Gallatin ,MT,43777,1473,11070,17767,8700,4767
Garfield ,MT,438,4,97,122,104,111
Glacier ,MT,4163,216,1747,1329,499,372
Golden Valley ,MT,351,8,88,126,90,39
Granite ,MT,1308,50,251,500,285,222
Hill ,MT,6369,373,2072,2006,1165,753
Jefferson ,MT,4484,128,741,1538,1265,812
Judith Basin ,MT,906,42,210,259,185,210
Lake ,MT,11802,439,2885,4744,2386,1348
Lewis and Clark ,MT,27893,1206,7613,10754,5545,2775
Liberty ,MT,895,117,243,278,108,149
Lincoln ,MT,8122,332,2063,3026,1693,1008
McCone ,MT,723,0,104,250,188,181
Madison ,MT,3570,125,818,1330,822,475
Meagher ,MT,702,17,200,244,144,97
Mineral ,MT,1786,70,492,651,364,209
Missoula ,MT,49313,2865,15339,18821,8744,3544
Musselshell ,MT,2181,122,472,780,456,351
Park ,MT,7782,388,2369,2375,1847,803
Petroleum ,MT,204,0,28,66,36,74
Phillips ,MT,1710,69,470,537,226,408
Pondera ,MT,2103,149,466,656,507,325
Powder River ,MT,737,14,122,199,200,202
Powell ,MT,2426,143,517,1014,420,332
Prairie ,MT,518,10,110,180,102,116
Ravalli ,MT,17354,558,4089,6535,3715,2457
Richland ,MT,4535,290,1045,1571,1013,616
Roosevelt ,MT,3150,326,1057,888,459,420
Rosebud ,MT,3166,173,721,986,622,664
